niche,product,P,W,F,E,R,S,I,Z,C,V,Rp,B,D,MTO,status,exclusion_reasons,filter_score
Reading,Padded book sleeve,2,1,0,0,0,0,0,0,4,3,0,4,3,0,PASS,,71.1
Dog walking,Hands-free bungee leash,2,1,0,0,0,0,0,0,4,4,0,3,3,0,PASS,,70.0
Office gifts,Personalised desk name plate,2,2,0,0,0,0,0,0,4,2,0,5,2,1,PASS,,69.9
Office gifts,Custom company-logo notebook,2,2,0,0,0,0,0,0,3,2,0,4,2,1,PASS,,69.6
Stationery,Undated planner journal,2,2,0,0,0,0,0,1,4,3,0,4,3,1,PASS,,69.5
Cats,Window-mounted cat perch,3,2,0,0,0,0,0,0,3,4,0,2,3,0,PASS,,69.1
Puzzles & games,Irish landscape jigsaw (own photography),2,2,0,0,0,0,0,1,3,3,0,4,2,1,PASS,,69.1
Dog enrichment,Snuffle mat,2,2,0,0,0,0,0,0,4,5,0,3,3,0,PASS,,68.9
Crafts,Beginner embroidery kit,2,1,0,0,0,0,0,1,4,4,0,3,3,0,PASS,,67.9
Tourist souvenirs,Irish blessing tea towel,2,1,0,0,0,0,0,1,4,2,0,3,3,1,PASS,,67.9
Cycling commute,Waterproof pannier bag,3,2,0,0,0,0,0,0,4,3,0,3,3,0,PASS,,67.8
Equestrian,Horse grooming kit bag,3,2,0,0,0,0,0,0,3,3,0,3,2,0,PASS,,67.4
Meal prep,Insulated lunch bag,2,1,0,0,0,0,0,0,4,2,0,3,3,0,PASS,,66.8
Sea swimming,Roll-top dry bag,2,1,0,0,0,0,0,1,4,3,0,3,3,0,PASS,,66.3
Angling,Sea fishing lure kit,2,1,0,0,0,0,0,1,4,3,1,2,3,0,PASS,,66.3
Hiking,Collapsible trekking poles,3,2,0,0,0,0,0,0,4,3,0,2,3,0,PASS,,65.1
Kitchen organisation,Expandable drawer dividers,2,2,0,0,0,0,0,0,4,4,0,2,3,0,PASS,,64.6
Kitchen organisation,Magnetic spice rack,2,2,0,0,0,0,0,0,4,4,0,2,3,0,PASS,,64.6
Equestrian,Hoof pick set,1,1,0,0,0,0,0,0,3,2,1,2,2,0,PASS,,64.3
Golf,Magnetic golf towel,2,1,0,0,0,0,0,0,4,2,0,3,2,0,PASS,,64.0
Men's grooming,Shaving brush set,2,1,0,0,0,0,0,0,4,2,0,3,2,0,PASS,,64.0
Bike repair,Bike multi-tool,2,1,0,0,0,0,0,0,4,2,0,2,3,0,PASS,,64.0
Condensation & damp,Window condensation absorbing strips,1,1,0,0,0,0,0,1,3,3,1,1,3,0,PASS,,63.9
GAA & hurling,Hurley and sliotar carry bag,2,2,0,0,0,0,0,0,3,2,0,3,2,0,PASS,,63.7
Genealogy,Archival document storage box,2,2,0,0,0,0,0,0,2,2,0,2,2,0,PASS,,63.4
Bathroom,Anti-slip quick-dry bath mat,2,2,0,0,0,0,0,0,4,3,0,2,3,0,PASS,,63.0
Indoor plants,Self-watering planter,2,2,0,0,0,0,0,0,4,3,0,2,3,0,PASS,,63.0
Car care,Microfibre car wash kit,2,2,0,0,0,0,0,0,4,3,0,2,3,0,PASS,,63.0
Car organisation,Back-seat kids organiser,2,2,0,0,0,0,0,0,4,3,0,2,3,0,PASS,,63.0
Equestrian,Horse treat ball,2,2,0,0,0,0,0,0,3,3,0,2,2,0,PASS,,62.6
Laundry,Wool dryer balls,1,1,0,0,0,0,0,0,4,2,1,2,2,0,PASS,,61.9
Maker & 3D printing,3D printer filament,2,2,0,0,0,0,0,0,4,2,1,1,3,0,PASS,,61.5
DIY tools,Tool roll bag,2,2,0,0,0,0,0,0,4,2,0,3,2,0,PASS,,61.3
Aran knitting,Wooden knitting needle set,2,1,0,0,0,0,0,0,4,2,0,2,2,0,PASS,,61.2
E-scooter,Scooter handlebar bag,2,1,0,0,0,0,0,0,4,2,0,2,2,0,PASS,,61.2
Bike repair,Tubeless repair kit,1,1,0,0,0,0,0,0,4,3,1,1,2,0,PASS,,60.8
Small-space garden,Vertical wall planter,2,2,0,0,0,0,0,1,3,3,0,2,2,0,PASS,,60.5
Older adults,Grabber reacher,2,2,0,0,0,0,0,0,4,3,0,1,3,0,PASS,,60.3
E-scooter,Folding scooter lock,2,2,0,0,0,0,0,0,4,3,0,1,3,0,PASS,,60.3
Music accessories,Guitar humidifier,1,1,0,0,0,0,0,0,3,2,1,1,1,0,PASS,,58.8
Yoga & pilates,Cork yoga blocks,2,2,0,0,0,0,0,0,4,2,0,2,2,0,PASS,,58.6
Angling,Tackle box organiser,2,2,0,0,0,0,0,0,4,2,0,2,2,0,PASS,,58.6
Stationery,Desk organiser,2,2,0,0,0,0,0,0,4,2,0,2,2,0,PASS,,58.6
Audio,Headphone stand,2,2,0,0,0,0,0,0,4,2,0,2,2,0,PASS,,58.6
Golf,Alignment sticks,2,2,0,0,0,0,0,0,4,3,0,1,2,0,PASS,,57.5
Ergonomics,Under-desk footrest,2,2,0,0,0,0,0,0,4,2,0,1,2,0,PASS,,55.9
Maker & 3D printing,Parts organiser case,2,2,0,0,0,0,0,0,4,2,0,1,2,0,PASS,,55.9
Pet personalisation,Custom pet portrait print,3,1,0,0,0,0,0,0,5,4,0,5,4,1,EXCLUDED,saturated commodity (Temu/Amazon price anchor),81.1
Jewellery,Personalised name necklace,3,1,0,0,1,0,0,0,5,4,0,5,4,1,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); saturated commodity (Temu/Amazon price anchor),75.1
Memorial,Pet memorial frame,3,2,1,0,0,0,0,0,3,2,0,5,3,1,EXCLUDED,fragile: breakage and replacement cost,74.8
Personalised gifts,Custom photo book,3,2,0,0,0,0,0,1,5,3,0,5,4,1,EXCLUDED,saturated commodity (Temu/Amazon price anchor),74.7
Personalised gifts,Custom star-map print,3,1,0,0,0,0,0,1,5,3,0,4,4,1,EXCLUDED,saturated commodity (Temu/Amazon price anchor),74.7
Personalised wall art,Custom city street-map print,3,1,0,0,0,0,0,0,5,3,0,4,3,1,EXCLUDED,saturated commodity (Temu/Amazon price anchor),74.0
Dog mud & rain,Dog drying coat,3,2,0,0,0,1,0,1,3,5,0,4,4,0,EXCLUDED,sizing/fit: high return rate under 14-day withdrawal right,72.8
Weddings,Personalised welcome sign,3,2,1,0,0,0,0,1,4,3,0,5,3,1,EXCLUDED,fragile: breakage and replacement cost,71.9
Christmas,Personalised bauble,2,1,1,0,0,0,0,2,5,3,0,5,4,1,EXCLUDED,fragile: breakage and replacement cost; extreme single-peak seasonality; saturated commodity (Temu/Amazon price anchor),70.8
Apparel basics,Graphic t-shirt,2,1,0,0,0,1,0,0,5,3,0,4,4,1,EXCLUDED,sizing/fit: high return rate under 14-day withdrawal right; saturated commodity (Temu/Amazon price anchor),70.7
Reading,Personalised bookmark,1,1,0,0,0,0,0,0,4,2,0,5,2,1,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,70.5
Memorial,Memorial ornament,2,1,1,0,0,0,0,1,3,2,0,5,2,1,EXCLUDED,fragile: breakage and replacement cost,70.5
Tourist souvenirs,Illustrated Wild Atlantic Way map print,2,1,0,0,0,0,1,1,3,2,0,4,3,1,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks)",69.0
Home gym,Adjustable dumbbells,4,3,0,0,0,0,0,0,4,4,0,2,4,0,EXCLUDED,heavy/bulky: shipping cost destroys margin,68.9
Sea swimming,Microfibre changing poncho towel,3,2,0,0,0,1,0,1,3,4,0,3,4,0,EXCLUDED,sizing/fit: high return rate under 14-day withdrawal right,68.5
Weddings,Personalised favour tags,1,1,0,0,0,0,0,1,4,2,0,5,2,1,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,68.4
GAA & hurling,Hurling wall rebounder,4,3,0,0,0,0,0,0,2,4,0,2,2,0,EXCLUDED,heavy/bulky: shipping cost destroys margin,68.1
Watches,Minimalist watch,3,1,0,1,0,0,0,0,5,3,0,3,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor),68.1
Apparel basics,Novelty socks,1,1,0,0,0,0,0,1,5,3,1,3,3,1,EXCLUDED,saturated commodity (Temu/Amazon price anchor),67.8
Beauty tools,LED face mask,4,2,0,1,1,0,0,0,4,5,0,2,4,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital,67.2
Supplements,Vitamin gummies,2,1,0,0,1,0,0,0,5,4,1,3,4,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); saturated commodity (Temu/Amazon price anchor),67.2
Indoor clothes drying,Ceiling pulley airer,3,3,0,0,0,0,0,0,2,3,0,3,2,0,EXCLUDED,heavy/bulky: shipping cost destroys margin,67.1
Beauty tools,Heatless curling rod,1,1,0,0,0,0,0,0,5,5,0,2,4,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,67.1
Audio,True wireless earbuds,3,1,0,1,0,0,1,0,5,3,0,2,5,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks); electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor)",66.9
Haircare,Silk scrunchies,1,1,0,0,0,0,0,0,5,3,1,3,3,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor),66.7
Home gym,Resistance band set,2,2,0,0,0,0,0,0,5,5,0,2,4,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor),66.6
Irish whiskey fans,Irish distilleries map print,2,1,0,0,0,0,1,1,3,2,0,4,2,1,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks)",66.2
Cleaning,Electric spin scrubber,3,2,0,1,0,0,0,0,5,5,0,1,4,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor),66.0
Rainwear,Windproof compact umbrella,2,1,0,0,0,0,0,0,5,3,0,2,4,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor),66.0
Crafts,Diamond painting kit,2,2,0,0,0,0,0,1,5,4,1,2,4,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor),65.7
Supplements,Magnesium capsules,2,1,0,0,1,0,0,0,5,3,1,3,4,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); saturated commodity (Temu/Amazon price anchor),65.6
Irish trad music,Bodhrán tipper,1,1,0,0,0,0,0,0,2,3,0,3,1,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,65.5
Radiator efficiency,Radiator booster fan,3,2,0,1,0,0,0,1,3,3,0,2,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital,65.4
Indoor clothes drying,Heated clothes airer,4,3,0,1,0,0,0,1,4,3,0,2,4,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; heavy/bulky: shipping cost destroys margin,65.2
Campervan,Custom-fit thermal window blinds,4,3,0,0,0,1,0,0,2,3,0,3,2,0,EXCLUDED,heavy/bulky: shipping cost destroys margin; sizing/fit: high return rate under 14-day withdrawal right,65.2
Indoor plants,LED grow light,3,2,0,1,0,0,0,0,4,3,0,2,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital,65.1
Travel,Compression packing cubes,2,2,0,0,0,0,0,0,5,4,0,2,4,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor),65.0
Skincare,Vitamin C serum,2,1,1,0,1,0,0,0,5,4,1,3,4,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); fragile: breakage and replacement cost; saturated commodity (Temu/Amazon price anchor),64.8
Cats,Cardboard cat scratcher,2,3,0,0,0,0,0,0,4,4,1,2,3,0,EXCLUDED,heavy/bulky: shipping cost destroys margin,64.7
Car care,Portable tyre inflator,3,2,0,1,0,0,0,1,4,4,0,1,4,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital,64.7
Haircare,Hot-air brush,3,2,0,1,0,0,1,0,5,5,0,2,4,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks); electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor)",64.7
Dog grooming,Dog nail grinder,2,1,0,1,0,0,0,0,4,4,0,1,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital,64.5
Supplements,Collagen powder,2,2,0,0,1,0,0,0,5,4,1,3,4,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); saturated commodity (Temu/Amazon price anchor),64.5
Car care,Cordless car vacuum,3,2,0,1,0,0,0,0,5,4,0,1,4,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor),64.4
Irish language learning,Bilingual kids board book,2,2,0,0,1,0,0,0,2,3,0,4,2,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),64.4
Irish trad music,Tin whistle beginner kit,2,1,0,0,1,0,0,1,3,4,0,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),64.3
Campervan,Portable camping shower,3,2,0,1,0,0,0,1,3,4,0,2,2,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital,64.2
Rainwear,Waterproof jacket,4,2,0,0,0,1,0,1,5,3,0,3,4,0,EXCLUDED,sizing/fit: high return rate under 14-day withdrawal right; saturated commodity (Temu/Amazon price anchor),64.2
Tea,Personalised tea caddy,2,1,0,0,1,0,0,1,3,2,0,4,2,1,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),64.2
Home bar,Engraved whiskey glass,2,2,1,0,1,0,0,1,4,3,0,5,3,1,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); fragile: breakage and replacement cost,63.8
Thermal textiles,Wearable blanket hoodie,3,2,0,0,0,0,1,1,5,4,0,3,4,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks); saturated commodity (Temu/Amazon price anchor)",63.7
Home baking,Sourdough banneton kit,2,2,0,0,1,0,0,0,3,4,0,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),63.7
Food storage,Vacuum sealer,3,2,0,1,1,0,0,0,4,4,1,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital,63.5
Sleep,White noise machine,3,2,0,1,0,0,0,0,4,2,0,2,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital,63.5
Hiking,Rechargeable headlamp,2,1,0,1,0,0,0,1,4,3,0,2,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital,63.5
Running,Running waist belt,1,1,0,0,0,0,0,0,4,3,0,2,3,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,63.5
Smart home,Video doorbell,4,1,0,1,0,0,1,0,5,3,0,1,4,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks); electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor)",63.5
Skincare,Mineral sunscreen,2,1,0,0,1,0,0,1,5,3,1,3,4,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); saturated commodity (Temu/Amazon price anchor),63.5
Candles & fragrance,Wax melts,1,1,0,0,1,0,0,0,4,3,1,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),63.1
Angling,Electronic bite alarm,3,2,0,1,0,0,0,0,3,2,0,2,2,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital,63.1
Audio,Bluetooth speaker,3,2,1,1,0,0,0,0,5,3,0,2,4,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; fragile: breakage and replacement cost; saturated commodity (Temu/Amazon price anchor),63.1
Crafts,Paint-by-numbers kit,2,2,0,0,0,0,0,1,5,4,0,2,4,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor),62.9
DIY tools,Electronic stud finder,2,1,0,1,0,0,0,0,4,3,0,1,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital,62.9
Phone accessories,3-in-1 wireless charging stand,3,2,0,1,0,0,0,0,5,3,0,1,4,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor),62.8
Watches,Watch winder,4,2,1,1,0,0,0,0,3,2,0,2,2,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; fragile: breakage and replacement cost,62.8
Tourist souvenirs,Aran-style wool scarf,3,1,0,0,0,0,1,1,4,2,0,3,3,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks)",62.8
Nails,Press-on nails,1,1,0,0,1,1,0,0,5,5,1,3,4,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); sizing/fit: high return rate under 14-day withdrawal right; saturated commodity (Temu/Amazon price anchor),62.7
Dog grooming,Deshedding brush,2,1,0,0,0,0,1,0,5,5,0,1,4,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks); saturated commodity (Temu/Amazon price anchor)",62.5
Food storage,Beeswax food wraps,2,1,0,0,1,0,0,0,4,3,1,3,2,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),62.4
Cleaning,Microfibre cloth set,1,1,0,0,0,0,0,0,5,2,1,1,4,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor),62.4
Cleaning,Grout and detail brush set,1,1,0,0,0,0,0,0,4,4,0,1,3,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,62.4
Sleep,Weighted blanket,4,3,0,0,0,0,0,1,4,3,0,2,3,0,EXCLUDED,heavy/bulky: shipping cost destroys margin,62.4
Baby,Muslin swaddle set,2,1,0,0,1,0,0,0,4,3,0,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),62.4
Work from home,Cable management kit,1,1,0,0,0,0,0,0,4,4,0,1,3,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,62.4
Home security,Door stop alarm,1,1,0,1,0,0,0,0,4,4,0,1,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; AOV <€15 with no repeat purchase: cannot carry acquisition cost,62.4
Dog walking,Poo bag dispenser,1,1,0,0,0,0,0,0,5,2,1,2,3,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor),62.3
Dog enrichment,Puzzle feeder toy,2,2,0,0,0,0,1,0,4,5,0,2,3,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks)",62.2
Laundry,Rechargeable lint shaver,2,1,0,1,0,0,0,0,5,4,0,1,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor),62.1
Sea swimming,Neoprene swim gloves and socks,2,1,0,0,0,1,0,1,3,3,0,2,3,0,EXCLUDED,sizing/fit: high return rate under 14-day withdrawal right,61.9
Coffee,Gooseneck pour-over kettle,3,2,0,0,1,0,0,0,4,3,0,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),61.8
Coffee,Manual burr grinder,3,2,0,0,1,0,0,0,4,3,0,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),61.8
Draught proofing,Under-door draught excluder,1,2,0,0,0,0,0,1,4,3,0,2,4,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,61.6
Outdoor & rain,Adult changing robe,4,3,0,0,0,1,1,1,4,4,0,3,4,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks); heavy/bulky: shipping cost destroys margin; sizing/fit: high return rate under 14-day withdrawal right",61.5
Phone accessories,Phone case,1,1,0,0,0,1,1,0,5,3,0,3,5,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks); sizing/fit: high return rate under 14-day withdrawal right; saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost",61.5
Bathroom,Filtered shower head,2,2,0,0,1,0,0,0,4,4,1,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),61.4
Men's grooming,Beard trimmer,3,1,0,1,0,0,1,0,5,3,0,1,4,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks); electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor)",61.4
Kids toys,Montessori busy board,3,2,0,0,1,0,0,1,4,4,0,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),61.3
Home bar,Cocktail shaker kit,3,2,0,0,1,0,0,1,4,4,0,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),61.3
Warmth accessories,USB heated insoles,3,1,0,1,0,1,0,1,3,3,0,2,2,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; sizing/fit: high return rate under 14-day withdrawal right,61.2
Stationery,Pastel highlighter set,1,1,0,0,0,0,0,0,5,3,1,1,3,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor),61.2
Phone accessories,Magnetic car phone mount,1,1,0,0,0,0,0,0,5,3,0,1,4,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,61.2
Sleep,Contoured sleep mask,1,1,0,0,0,0,0,0,5,3,0,2,3,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,61.1
Candles & fragrance,Soy wax candle,2,2,1,0,1,0,0,1,5,3,1,4,4,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); fragile: breakage and replacement cost; saturated commodity (Temu/Amazon price anchor),61.1
Dog walking,LED light-up collar,2,1,0,1,0,1,0,1,4,4,0,2,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; sizing/fit: high return rate under 14-day withdrawal right,61.1
Dog enrichment,Lick mat,1,1,0,0,1,0,0,0,5,5,0,2,4,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,61.1
Christmas,Christmas jumper,2,2,0,0,0,1,0,2,5,3,0,3,4,1,EXCLUDED,sizing/fit: high return rate under 14-day withdrawal right; extreme single-peak seasonality; saturated commodity (Temu/Amazon price anchor),61.1
Campervan,Rechargeable camping lantern,2,2,0,1,0,0,0,1,4,3,0,2,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital,60.9
Christmas,Refillable advent calendar box,3,3,0,0,0,0,0,2,4,3,0,3,3,0,EXCLUDED,heavy/bulky: shipping cost destroys margin; extreme single-peak seasonality,60.9
Recovery,Percussion massage gun,4,2,0,1,1,0,1,0,5,5,0,2,4,0,EXCLUDED,"regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); IP risk (patent, dominant trademark or licensed marks); electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor)",60.8
Work from home,Monitor riser with drawer,3,3,0,0,0,0,0,0,4,2,0,2,3,0,EXCLUDED,heavy/bulky: shipping cost destroys margin,60.8
